"","Sex","Age","SibSp","Parch","Fare","Embarked","SurvivedF","PclassF"
"1","male",22,1,0,7.25,"S","0","3"
"2","female",38,1,0,71.2833,"C","1","1"
"3","female",26,0,0,7.925,"S","1","3"
"4","female",35,1,0,53.1,"S","1","1"
"5","male",35,0,0,8.05,"S","0","3"
"6","male",NA,0,0,8.4583,"Q","0","3"
"7","male",54,0,0,51.8625,"S","0","1"
"8","male",2,3,1,21.075,"S","0","3"
"9","female",27,0,2,11.1333,"S","1","3"
"10","female",14,1,0,30.0708,"C","1","2"
"11","female",4,1,1,16.7,"S","1","3"
"12","female",58,0,0,26.55,"S","1","1"
"13","male",20,0,0,8.05,"S","0","3"
"14","male",39,1,5,31.275,"S","0","3"
"15","female",14,0,0,7.8542,"S","0","3"
"16","female",55,0,0,16,"S","1","2"
"17","male",2,4,1,29.125,"Q","0","3"
"18","male",NA,0,0,13,"S","1","2"
"19","female",31,1,0,18,"S","0","3"
"20","female",NA,0,0,7.225,"C","1","3"
"21","male",35,0,0,26,"S","0","2"
"22","male",34,0,0,13,"S","1","2"
"23","female",15,0,0,8.0292,"Q","1","3"
"24","male",28,0,0,35.5,"S","1","1"
"25","female",8,3,1,21.075,"S","0","3"
"26","female",38,1,5,31.3875,"S","1","3"
"27","male",NA,0,0,7.225,"C","0","3"
"28","male",19,3,2,263,"S","0","1"
"29","female",NA,0,0,7.8792,"Q","1","3"
"30","male",NA,0,0,7.8958,"S","0","3"
"31","male",40,0,0,27.7208,"C","0","1"
"32","female",NA,1,0,146.5208,"C","1","1"
"33","female",NA,0,0,7.75,"Q","1","3"
"34","male",66,0,0,10.5,"S","0","2"
"35","male",28,1,0,82.1708,"C","0","1"
"36","male",42,1,0,52,"S","0","1"
"37","male",NA,0,0,7.2292,"C","1","3"
"38","male",21,0,0,8.05,"S","0","3"
"39","female",18,2,0,18,"S","0","3"
"40","female",14,1,0,11.2417,"C","1","3"
"41","female",40,1,0,9.475,"S","0","3"
"42","female",27,1,0,21,"S","0","2"
"43","male",NA,0,0,7.8958,"C","0","3"
"44","female",3,1,2,41.5792,"C","1","2"
"45","female",19,0,0,7.8792,"Q","1","3"
"46","male",NA,0,0,8.05,"S","0","3"
"47","male",NA,1,0,15.5,"Q","0","3"
"48","female",NA,0,0,7.75,"Q","1","3"
"49","male",NA,2,0,21.6792,"C","0","3"
"50","female",18,1,0,17.8,"S","0","3"
"51","male",7,4,1,39.6875,"S","0","3"
"52","male",21,0,0,7.8,"S","0","3"
"53","female",49,1,0,76.7292,"C","1","1"
"54","female",29,1,0,26,"S","1","2"
"55","male",65,0,1,61.9792,"C","0","1"
"56","male",NA,0,0,35.5,"S","1","1"
"57","female",21,0,0,10.5,"S","1","2"
"58","male",28.5,0,0,7.2292,"C","0","3"
"59","female",5,1,2,27.75,"S","1","2"
"60","male",11,5,2,46.9,"S","0","3"
"61","male",22,0,0,7.2292,"C","0","3"
"63","male",45,1,0,83.475,"S","0","1"
"64","male",4,3,2,27.9,"S","0","3"
"65","male",NA,0,0,27.7208,"C","0","1"
"66","male",NA,1,1,15.2458,"C","1","3"
"67","female",29,0,0,10.5,"S","1","2"
"68","male",19,0,0,8.1583,"S","0","3"
"69","female",17,4,2,7.925,"S","1","3"
"70","male",26,2,0,8.6625,"S","0","3"
"71","male",32,0,0,10.5,"S","0","2"
"72","female",16,5,2,46.9,"S","0","3"
"73","male",21,0,0,73.5,"S","0","2"
"74","male",26,1,0,14.4542,"C","0","3"
"75","male",32,0,0,56.4958,"S","1","3"
"76","male",25,0,0,7.65,"S","0","3"
"77","male",NA,0,0,7.8958,"S","0","3"
"78","male",NA,0,0,8.05,"S","0","3"
"79","male",0.83,0,2,29,"S","1","2"
"80","female",30,0,0,12.475,"S","1","3"
"81","male",22,0,0,9,"S","0","3"
"82","male",29,0,0,9.5,"S","1","3"
"83","female",NA,0,0,7.7875,"Q","1","3"
"84","male",28,0,0,47.1,"S","0","1"
"85","female",17,0,0,10.5,"S","1","2"
"86","female",33,3,0,15.85,"S","1","3"
"87","male",16,1,3,34.375,"S","0","3"
"88","male",NA,0,0,8.05,"S","0","3"
"89","female",23,3,2,263,"S","1","1"
"90","male",24,0,0,8.05,"S","0","3"
"91","male",29,0,0,8.05,"S","0","3"
"92","male",20,0,0,7.8542,"S","0","3"
"93","male",46,1,0,61.175,"S","0","1"
"94","male",26,1,2,20.575,"S","0","3"
"95","male",59,0,0,7.25,"S","0","3"
"96","male",NA,0,0,8.05,"S","0","3"
"97","male",71,0,0,34.6542,"C","0","1"
"98","male",23,0,1,63.3583,"C","1","1"
"99","female",34,0,1,23,"S","1","2"
"100","male",34,1,0,26,"S","0","2"
"101","female",28,0,0,7.8958,"S","0","3"
"102","male",NA,0,0,7.8958,"S","0","3"
"103","male",21,0,1,77.2875,"S","0","1"
"104","male",33,0,0,8.6542,"S","0","3"
"105","male",37,2,0,7.925,"S","0","3"
"106","male",28,0,0,7.8958,"S","0","3"
"107","female",21,0,0,7.65,"S","1","3"
"108","male",NA,0,0,7.775,"S","1","3"
"109","male",38,0,0,7.8958,"S","0","3"
"110","female",NA,1,0,24.15,"Q","1","3"
"111","male",47,0,0,52,"S","0","1"
"112","female",14.5,1,0,14.4542,"C","0","3"
"113","male",22,0,0,8.05,"S","0","3"
"114","female",20,1,0,9.825,"S","0","3"
"115","female",17,0,0,14.4583,"C","0","3"
"116","male",21,0,0,7.925,"S","0","3"
"117","male",70.5,0,0,7.75,"Q","0","3"
"118","male",29,1,0,21,"S","0","2"
"119","male",24,0,1,247.5208,"C","0","1"
"120","female",2,4,2,31.275,"S","0","3"
"121","male",21,2,0,73.5,"S","0","2"
"122","male",NA,0,0,8.05,"S","0","3"
"123","male",32.5,1,0,30.0708,"C","0","2"
"124","female",32.5,0,0,13,"S","1","2"
"125","male",54,0,1,77.2875,"S","0","1"
"126","male",12,1,0,11.2417,"C","1","3"
"127","male",NA,0,0,7.75,"Q","0","3"
"128","male",24,0,0,7.1417,"S","1","3"
"129","female",NA,1,1,22.3583,"C","1","3"
"130","male",45,0,0,6.975,"S","0","3"
"131","male",33,0,0,7.8958,"C","0","3"
"132","male",20,0,0,7.05,"S","0","3"
"133","female",47,1,0,14.5,"S","0","3"
"134","female",29,1,0,26,"S","1","2"
"135","male",25,0,0,13,"S","0","2"
"136","male",23,0,0,15.0458,"C","0","2"
"137","female",19,0,2,26.2833,"S","1","1"
"138","male",37,1,0,53.1,"S","0","1"
"139","male",16,0,0,9.2167,"S","0","3"
"140","male",24,0,0,79.2,"C","0","1"
"141","female",NA,0,2,15.2458,"C","0","3"
"142","female",22,0,0,7.75,"S","1","3"
"143","female",24,1,0,15.85,"S","1","3"
"144","male",19,0,0,6.75,"Q","0","3"
"145","male",18,0,0,11.5,"S","0","2"
"146","male",19,1,1,36.75,"S","0","2"
"147","male",27,0,0,7.7958,"S","1","3"
"148","female",9,2,2,34.375,"S","0","3"
"149","male",36.5,0,2,26,"S","0","2"
"150","male",42,0,0,13,"S","0","2"
"151","male",51,0,0,12.525,"S","0","2"
"152","female",22,1,0,66.6,"S","1","1"
"153","male",55.5,0,0,8.05,"S","0","3"
"154","male",40.5,0,2,14.5,"S","0","3"
"155","male",NA,0,0,7.3125,"S","0","3"
"156","male",51,0,1,61.3792,"C","0","1"
"157","female",16,0,0,7.7333,"Q","1","3"
"158","male",30,0,0,8.05,"S","0","3"
"159","male",NA,0,0,8.6625,"S","0","3"
"160","male",NA,8,2,69.55,"S","0","3"
"161","male",44,0,1,16.1,"S","0","3"
"162","female",40,0,0,15.75,"S","1","2"
"163","male",26,0,0,7.775,"S","0","3"
"164","male",17,0,0,8.6625,"S","0","3"
"165","male",1,4,1,39.6875,"S","0","3"
"166","male",9,0,2,20.525,"S","1","3"
"167","female",NA,0,1,55,"S","1","1"
"168","female",45,1,4,27.9,"S","0","3"
"169","male",NA,0,0,25.925,"S","0","1"
"170","male",28,0,0,56.4958,"S","0","3"
"171","male",61,0,0,33.5,"S","0","1"
"172","male",4,4,1,29.125,"Q","0","3"
"173","female",1,1,1,11.1333,"S","1","3"
"174","male",21,0,0,7.925,"S","0","3"
"175","male",56,0,0,30.6958,"C","0","1"
"176","male",18,1,1,7.8542,"S","0","3"
"177","male",NA,3,1,25.4667,"S","0","3"
"178","female",50,0,0,28.7125,"C","0","1"
"179","male",30,0,0,13,"S","0","2"
"180","male",36,0,0,0,"S","0","3"
"181","female",NA,8,2,69.55,"S","0","3"
"182","male",NA,0,0,15.05,"C","0","2"
"183","male",9,4,2,31.3875,"S","0","3"
"184","male",1,2,1,39,"S","1","2"
"185","female",4,0,2,22.025,"S","1","3"
"186","male",NA,0,0,50,"S","0","1"
"187","female",NA,1,0,15.5,"Q","1","3"
"188","male",45,0,0,26.55,"S","1","1"
"189","male",40,1,1,15.5,"Q","0","3"
"190","male",36,0,0,7.8958,"S","0","3"
"191","female",32,0,0,13,"S","1","2"
"192","male",19,0,0,13,"S","0","2"
"193","female",19,1,0,7.8542,"S","1","3"
"194","male",3,1,1,26,"S","1","2"
"195","female",44,0,0,27.7208,"C","1","1"
"196","female",58,0,0,146.5208,"C","1","1"
"197","male",NA,0,0,7.75,"Q","0","3"
"198","male",42,0,1,8.4042,"S","0","3"
"199","female",NA,0,0,7.75,"Q","1","3"
"200","female",24,0,0,13,"S","0","2"
"201","male",28,0,0,9.5,"S","0","3"
"202","male",NA,8,2,69.55,"S","0","3"
"203","male",34,0,0,6.4958,"S","0","3"
"204","male",45.5,0,0,7.225,"C","0","3"
"205","male",18,0,0,8.05,"S","1","3"
"206","female",2,0,1,10.4625,"S","0","3"
"207","male",32,1,0,15.85,"S","0","3"
"208","male",26,0,0,18.7875,"C","1","3"
"209","female",16,0,0,7.75,"Q","1","3"
"210","male",40,0,0,31,"C","1","1"
"211","male",24,0,0,7.05,"S","0","3"
"212","female",35,0,0,21,"S","1","2"
"213","male",22,0,0,7.25,"S","0","3"
"214","male",30,0,0,13,"S","0","2"
"215","male",NA,1,0,7.75,"Q","0","3"
"216","female",31,1,0,113.275,"C","1","1"
"217","female",27,0,0,7.925,"S","1","3"
"218","male",42,1,0,27,"S","0","2"
"219","female",32,0,0,76.2917,"C","1","1"
"220","male",30,0,0,10.5,"S","0","2"
"221","male",16,0,0,8.05,"S","1","3"
"222","male",27,0,0,13,"S","0","2"
"223","male",51,0,0,8.05,"S","0","3"
"224","male",NA,0,0,7.8958,"S","0","3"
"225","male",38,1,0,90,"S","1","1"
"226","male",22,0,0,9.35,"S","0","3"
"227","male",19,0,0,10.5,"S","1","2"
"228","male",20.5,0,0,7.25,"S","0","3"
"229","male",18,0,0,13,"S","0","2"
"230","female",NA,3,1,25.4667,"S","0","3"
"231","female",35,1,0,83.475,"S","1","1"
"232","male",29,0,0,7.775,"S","0","3"
"233","male",59,0,0,13.5,"S","0","2"
"234","female",5,4,2,31.3875,"S","1","3"
"235","male",24,0,0,10.5,"S","0","2"
"236","female",NA,0,0,7.55,"S","0","3"
"237","male",44,1,0,26,"S","0","2"
"238","female",8,0,2,26.25,"S","1","2"
"239","male",19,0,0,10.5,"S","0","2"
"240","male",33,0,0,12.275,"S","0","2"
"241","female",NA,1,0,14.4542,"C","0","3"
"242","female",NA,1,0,15.5,"Q","1","3"
"243","male",29,0,0,10.5,"S","0","2"
"244","male",22,0,0,7.125,"S","0","3"
"245","male",30,0,0,7.225,"C","0","3"
"246","male",44,2,0,90,"Q","0","1"
"247","female",25,0,0,7.775,"S","0","3"
"248","female",24,0,2,14.5,"S","1","2"
"249","male",37,1,1,52.5542,"S","1","1"
"250","male",54,1,0,26,"S","0","2"
"251","male",NA,0,0,7.25,"S","0","3"
"252","female",29,1,1,10.4625,"S","0","3"
"253","male",62,0,0,26.55,"S","0","1"
"254","male",30,1,0,16.1,"S","0","3"
"255","female",41,0,2,20.2125,"S","0","3"
"256","female",29,0,2,15.2458,"C","1","3"
"257","female",NA,0,0,79.2,"C","1","1"
"258","female",30,0,0,86.5,"S","1","1"
"259","female",35,0,0,512.3292,"C","1","1"
"260","female",50,0,1,26,"S","1","2"
"261","male",NA,0,0,7.75,"Q","0","3"
"262","male",3,4,2,31.3875,"S","1","3"
"263","male",52,1,1,79.65,"S","0","1"
"264","male",40,0,0,0,"S","0","1"
"265","female",NA,0,0,7.75,"Q","0","3"
"266","male",36,0,0,10.5,"S","0","2"
"267","male",16,4,1,39.6875,"S","0","3"
"268","male",25,1,0,7.775,"S","1","3"
"269","female",58,0,1,153.4625,"S","1","1"
"270","female",35,0,0,135.6333,"S","1","1"
"271","male",NA,0,0,31,"S","0","1"
"272","male",25,0,0,0,"S","1","3"
"273","female",41,0,1,19.5,"S","1","2"
"274","male",37,0,1,29.7,"C","0","1"
"275","female",NA,0,0,7.75,"Q","1","3"
"276","female",63,1,0,77.9583,"S","1","1"
"277","female",45,0,0,7.75,"S","0","3"
"278","male",NA,0,0,0,"S","0","2"
"279","male",7,4,1,29.125,"Q","0","3"
"280","female",35,1,1,20.25,"S","1","3"
"281","male",65,0,0,7.75,"Q","0","3"
"282","male",28,0,0,7.8542,"S","0","3"
"283","male",16,0,0,9.5,"S","0","3"
"284","male",19,0,0,8.05,"S","1","3"
"285","male",NA,0,0,26,"S","0","1"
"286","male",33,0,0,8.6625,"C","0","3"
"287","male",30,0,0,9.5,"S","1","3"
"288","male",22,0,0,7.8958,"S","0","3"
"289","male",42,0,0,13,"S","1","2"
"290","female",22,0,0,7.75,"Q","1","3"
"291","female",26,0,0,78.85,"S","1","1"
"292","female",19,1,0,91.0792,"C","1","1"
"293","male",36,0,0,12.875,"C","0","2"
"294","female",24,0,0,8.85,"S","0","3"
"295","male",24,0,0,7.8958,"S","0","3"
"296","male",NA,0,0,27.7208,"C","0","1"
"297","male",23.5,0,0,7.2292,"C","0","3"
"298","female",2,1,2,151.55,"S","0","1"
"299","male",NA,0,0,30.5,"S","1","1"
"300","female",50,0,1,247.5208,"C","1","1"
"301","female",NA,0,0,7.75,"Q","1","3"
"302","male",NA,2,0,23.25,"Q","1","3"
"303","male",19,0,0,0,"S","0","3"
"304","female",NA,0,0,12.35,"Q","1","2"
"305","male",NA,0,0,8.05,"S","0","3"
"306","male",0.92,1,2,151.55,"S","1","1"
"307","female",NA,0,0,110.8833,"C","1","1"
"308","female",17,1,0,108.9,"C","1","1"
"309","male",30,1,0,24,"C","0","2"
"310","female",30,0,0,56.9292,"C","1","1"
"311","female",24,0,0,83.1583,"C","1","1"
"312","female",18,2,2,262.375,"C","1","1"
"313","female",26,1,1,26,"S","0","2"
"314","male",28,0,0,7.8958,"S","0","3"
"315","male",43,1,1,26.25,"S","0","2"
"316","female",26,0,0,7.8542,"S","1","3"
"317","female",24,1,0,26,"S","1","2"
"318","male",54,0,0,14,"S","0","2"
"319","female",31,0,2,164.8667,"S","1","1"
"320","female",40,1,1,134.5,"C","1","1"
"321","male",22,0,0,7.25,"S","0","3"
"322","male",27,0,0,7.8958,"S","0","3"
"323","female",30,0,0,12.35,"Q","1","2"
"324","female",22,1,1,29,"S","1","2"
"325","male",NA,8,2,69.55,"S","0","3"
"326","female",36,0,0,135.6333,"C","1","1"
"327","male",61,0,0,6.2375,"S","0","3"
"328","female",36,0,0,13,"S","1","2"
"329","female",31,1,1,20.525,"S","1","3"
"330","female",16,0,1,57.9792,"C","1","1"
"331","female",NA,2,0,23.25,"Q","1","3"
"332","male",45.5,0,0,28.5,"S","0","1"
"333","male",38,0,1,153.4625,"S","0","1"
"334","male",16,2,0,18,"S","0","3"
"335","female",NA,1,0,133.65,"S","1","1"
"336","male",NA,0,0,7.8958,"S","0","3"
"337","male",29,1,0,66.6,"S","0","1"
"338","female",41,0,0,134.5,"C","1","1"
"339","male",45,0,0,8.05,"S","1","3"
"340","male",45,0,0,35.5,"S","0","1"
"341","male",2,1,1,26,"S","1","2"
"342","female",24,3,2,263,"S","1","1"
"343","male",28,0,0,13,"S","0","2"
"344","male",25,0,0,13,"S","0","2"
"345","male",36,0,0,13,"S","0","2"
"346","female",24,0,0,13,"S","1","2"
"347","female",40,0,0,13,"S","1","2"
"348","female",NA,1,0,16.1,"S","1","3"
"349","male",3,1,1,15.9,"S","1","3"
"350","male",42,0,0,8.6625,"S","0","3"
"351","male",23,0,0,9.225,"S","0","3"
"352","male",NA,0,0,35,"S","0","1"
"353","male",15,1,1,7.2292,"C","0","3"
"354","male",25,1,0,17.8,"S","0","3"
"355","male",NA,0,0,7.225,"C","0","3"
"356","male",28,0,0,9.5,"S","0","3"
"357","female",22,0,1,55,"S","1","1"
"358","female",38,0,0,13,"S","0","2"
"359","female",NA,0,0,7.8792,"Q","1","3"
"360","female",NA,0,0,7.8792,"Q","1","3"
"361","male",40,1,4,27.9,"S","0","3"
"362","male",29,1,0,27.7208,"C","0","2"
"363","female",45,0,1,14.4542,"C","0","3"
"364","male",35,0,0,7.05,"S","0","3"
"365","male",NA,1,0,15.5,"Q","0","3"
"366","male",30,0,0,7.25,"S","0","3"
"367","female",60,1,0,75.25,"C","1","1"
"368","female",NA,0,0,7.2292,"C","1","3"
"369","female",NA,0,0,7.75,"Q","1","3"
"370","female",24,0,0,69.3,"C","1","1"
"371","male",25,1,0,55.4417,"C","1","1"
"372","male",18,1,0,6.4958,"S","0","3"
"373","male",19,0,0,8.05,"S","0","3"
"374","male",22,0,0,135.6333,"C","0","1"
"375","female",3,3,1,21.075,"S","0","3"
"376","female",NA,1,0,82.1708,"C","1","1"
"377","female",22,0,0,7.25,"S","1","3"
"378","male",27,0,2,211.5,"C","0","1"
"379","male",20,0,0,4.0125,"C","0","3"
"380","male",19,0,0,7.775,"S","0","3"
"381","female",42,0,0,227.525,"C","1","1"
"382","female",1,0,2,15.7417,"C","1","3"
"383","male",32,0,0,7.925,"S","0","3"
"384","female",35,1,0,52,"S","1","1"
"385","male",NA,0,0,7.8958,"S","0","3"
"386","male",18,0,0,73.5,"S","0","2"
"387","male",1,5,2,46.9,"S","0","3"
"388","female",36,0,0,13,"S","1","2"
"389","male",NA,0,0,7.7292,"Q","0","3"
"390","female",17,0,0,12,"C","1","2"
"391","male",36,1,2,120,"S","1","1"
"392","male",21,0,0,7.7958,"S","1","3"
"393","male",28,2,0,7.925,"S","0","3"
"394","female",23,1,0,113.275,"C","1","1"
"395","female",24,0,2,16.7,"S","1","3"
"396","male",22,0,0,7.7958,"S","0","3"
"397","female",31,0,0,7.8542,"S","0","3"
"398","male",46,0,0,26,"S","0","2"
"399","male",23,0,0,10.5,"S","0","2"
"400","female",28,0,0,12.65,"S","1","2"
"401","male",39,0,0,7.925,"S","1","3"
"402","male",26,0,0,8.05,"S","0","3"
"403","female",21,1,0,9.825,"S","0","3"
"404","male",28,1,0,15.85,"S","0","3"
"405","female",20,0,0,8.6625,"S","0","3"
"406","male",34,1,0,21,"S","0","2"
"407","male",51,0,0,7.75,"S","0","3"
"408","male",3,1,1,18.75,"S","1","2"
"409","male",21,0,0,7.775,"S","0","3"
"410","female",NA,3,1,25.4667,"S","0","3"
"411","male",NA,0,0,7.8958,"S","0","3"
"412","male",NA,0,0,6.8583,"Q","0","3"
"413","female",33,1,0,90,"Q","1","1"
"414","male",NA,0,0,0,"S","0","2"
"415","male",44,0,0,7.925,"S","1","3"
"416","female",NA,0,0,8.05,"S","0","3"
"417","female",34,1,1,32.5,"S","1","2"
"418","female",18,0,2,13,"S","1","2"
"419","male",30,0,0,13,"S","0","2"
"420","female",10,0,2,24.15,"S","0","3"
"421","male",NA,0,0,7.8958,"C","0","3"
"422","male",21,0,0,7.7333,"Q","0","3"
"423","male",29,0,0,7.875,"S","0","3"
"424","female",28,1,1,14.4,"S","0","3"
"425","male",18,1,1,20.2125,"S","0","3"
"426","male",NA,0,0,7.25,"S","0","3"
"427","female",28,1,0,26,"S","1","2"
"428","female",19,0,0,26,"S","1","2"
"429","male",NA,0,0,7.75,"Q","0","3"
"430","male",32,0,0,8.05,"S","1","3"
"431","male",28,0,0,26.55,"S","1","1"
"432","female",NA,1,0,16.1,"S","1","3"
"433","female",42,1,0,26,"S","1","2"
"434","male",17,0,0,7.125,"S","0","3"
"435","male",50,1,0,55.9,"S","0","1"
"436","female",14,1,2,120,"S","1","1"
"437","female",21,2,2,34.375,"S","0","3"
"438","female",24,2,3,18.75,"S","1","2"
"439","male",64,1,4,263,"S","0","1"
"440","male",31,0,0,10.5,"S","0","2"
"441","female",45,1,1,26.25,"S","1","2"
"442","male",20,0,0,9.5,"S","0","3"
"443","male",25,1,0,7.775,"S","0","3"
"444","female",28,0,0,13,"S","1","2"
"445","male",NA,0,0,8.1125,"S","1","3"
